,name,atqui,autem,avtem,certe,ceu,confestim,cum,cvm,dehinc,deinceps,demum,denique,eciam,enim,ergo,etiam,exinde,forsan,forsitan,fortassis,ideo,igitur,igitvr,itaque,itaqve,iterum,itervm,mox,multotiens,multoties,nam,namque,nempe,nimirum,praecipue,precipue,puta,pvta,quando,quemadmodum,quia,quippe,quod,quoniam,quoque,qvando,qvia,qvod,qvoniam,rursum,rursus,rvrsvm,sane,scilicet,sepe,sicut,sicvt,siquidem,siqvidem,tamquam,tamqvam,tanquam,uelut,ueluti,uero,uidelicet,ut,utique,velut,veluti,velvt,vero,videlicet,vt,vtiqve
10,BarMun,0.0,0.041942119919631954,0.0,0.0,0.0,0.022402548495952728,0.0214230100754137,0.0,0.0,0.0,0.0,0.0,0.0,0.027647841372486083,0.0,0.014887377875530934,0.0,0.0,0.0,0.0,0.01688690871109945,0.025611261329015575,0.0,0.008243414127676069,0.0,0.024284357341586887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01980450528209151,0.02336422193275676,0.015494220803870352,0.0,0.0290708609209523,0.017438221714329096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030220775027039883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024868852394895887,0.029555984436262242,0.0,0.0,0.0,0.04383425663887479,0.012870934333687804,0.0,0.0
11,WilTet,0.0,0.02050870578911929,0.0,0.0,0.0,0.0,0.014026696368090471,0.0,0.0,0.011550222928034802,0.0,0.0,0.0,0.01505709237400237,0.0,0.015402494066312522,0.0,0.0,0.0,0.0,0.010063484447609855,0.013212915172282137,0.0,0.010191221220903013,0.0,0.014133428352790219,0.0,0.003499166626133254,0.0036125779245879306,0.0,0.004432864692087183,0.0,0.0,0.0,0.0,0.010651399992793954,0.016112964229818658,0.0,0.015146480923845585,0.009034357889301917,0.012571820852045822,0.0,0.01572700777106306,0.014532892096629144,0.0,0.0,0.0,0.0,0.0,0.020043024095089894,0.003988382371733636,0.0,0.0,0.018818264950981083,0.0123754919799411,0.011921225165902702,0.0,0.0036125779245879306,0.0,0.01734110388208779,0.0,0.0,0.01713708897253216,0.010651399992793954,0.023578751990233612,0.028879836615287213,0.014189283488373991,0.015277699612661797,0.0,0.0,0.0,0.0,0.0,0.018611802942356398,0.0
12,AristPhaP,0.04584674337094321,0.0,0.0,0.0,0.0,0.0,0.02838632864688592,0.0,0.0,0.0,0.0,0.0,0.0,0.02923374466993614,0.023318461971636468,0.018863836011404976,0.0,0.0,0.0,0.03422583770252406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07488818255567387,0.040007234315305076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518412268732905,0.0,0.0,0.0,0.0,0.021920534029148175,0.0,0.0,0.0
13,WilInTim,0.0,0.04896757671565409,0.0,0.0,0.0,0.0,0.03576413884614435,0.0,0.0,0.024265078841483205,0.0,0.0,0.0,0.043544202572834666,0.0,0.018424531407854307,0.0,0.0,0.0,0.0,0.0,0.03563021151787776,0.0,0.03466533063541967,0.0,0.02434497722277717,0.0,0.01119945515183939,0.0,0.0,0.014187855171693714,0.0,0.0,0.0,0.0,0.0,0.0259039441359405,0.0,0.008779387935228134,0.009043913906977952,0.034216806074627605,0.0,0.04169647854413119,0.027850204184523893,0.0,0.0,0.0,0.0,0.0,0.030461625493740117,0.0,0.0,0.0,0.0,0.029774807213159827,0.02664255776574884,0.0,0.0,0.0,0.0,0.0,0.059390997187750656,0.04636532459175502,0.0,0.03342877987960796,0.0,0.03677891334549673,0.030730272312115826,0.0,0.0,0.0,0.0,0.0,0.021337459961855376,0.0
14,JamMetaph,0.0,0.04084076256726809,0.0,0.015371300994301984,0.0,0.0,0.02736801575716733,0.0,0.0,0.0,0.0,0.0,0.0,0.0388041386258878,0.01841810735113975,0.017431272537398353,0.0,0.0,0.0,0.0412253230017123,0.0,0.03209001370442238,0.0,0.01228476703147818,0.0,0.024653705420862617,0.0,0.00796496277769508,0.01962277236204138,0.0,0.0,0.04894175846703496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013498188436485968,0.021191242719220165,0.019998474749431866,0.03560465231008168,0.0341155298165606,0.021883921473414517,0.0,0.0,0.0,0.0,0.0,0.00907853798582265,0.0,0.012340322952459409,0.0,0.0,0.03636604180340619,0.0,0.02992438600824852,0.0,0.03771102349674387,0.0,0.0,0.0,0.0,0.0,0.0,0.02808174788904243,0.03220696231671908,0.0,0.0,0.0,0.042899748257429766,0.023774280430160874,0.0,0.0
15,BurNemP,0.0,0.03120570761590816,0.0,0.0,0.0,0.0,0.04270592326300376,0.0,0.0,0.0,0.04618060433708337,0.0,0.0,0.04398082161644732,0.0,0.034093713681062454,0.0,0.0,0.0,0.0,0.04793400901390109,0.018430593615369004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04398082161644732,0.0,0.07150896328390184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029278203003376305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04270592326300376,0.0,0.0,0.0,0.0,0.06893189414491918,0.0,0.0,0.0
16,WilCael,0.0,0.03589100401044154,0.0,0.007116924678077667,0.0,0.017576434453857537,0.017594596083800138,0.0,0.0,0.015382850530977647,0.0,0.0,0.0,0.03337173611150577,0.01024453265574633,0.02065020144325649,0.0,0.0,0.017906590721795186,0.0,0.006881719920464946,0.028561856325292366,0.0,0.03164921669949858,0.0,0.024640959661604362,0.0,0.0,0.013528355799283777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03611867425967657,0.0,0.015072993567049947,0.02883379253017606,0.0252874104620672,0.0,0.03106012804124681,0.028696891919834697,0.010132273178762904,0.0,0.0,0.0,0.0,0.0,0.014935665586939125,0.0,0.0,0.013973782803912602,0.0,0.0166522815738663,0.0,0.03179219537586251,0.0,0.02749751038376119,0.0,0.0,0.0,0.0,0.0,0.0,0.022954702430929997,0.03197929283437395,0.026587425403275463,0.0,0.0,0.014842109643884138,0.0,0.0,0.0
17,BurGen,0.0,0.04386931210967389,0.0,0.015733005667003346,0.0,0.0,0.018159747798933534,0.0,0.0,0.017663210093220482,0.0,0.0,0.0,0.04047143102882956,0.018851506937400668,0.0,0.0,0.0,0.018862533555188483,0.0,0.0401249631947507,0.03418503297938407,0.0,0.0,0.0,0.0,0.0,0.013803192178590879,0.024794589338623444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03634032945214084,0.0,0.03027728573466056,0.03070167494498486,0.02647652813324802,0.0,0.03539174626391641,0.03820967342355962,0.0,0.0,0.0,0.0,0.0,0.009292166592274772,0.04205969605142961,0.0,0.0,0.0,0.0,0.006583310627075038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031663507824624584,0.03482873786102167,0.023770251024576233,0.0,0.0,0.030035892032159266,0.0,0.0,0.0
18,WilHis,0.0,0.023587569026232224,0.0,0.004165549569698346,0.0,0.018676506851278783,0.01499798884660474,0.0,0.0,0.00638833164901045,0.0,0.0,0.0,0.018670904055450504,0.0,0.010213176843335366,0.0,0.0,0.0,0.0,0.0,0.016339265665327167,0.0,0.003329113524013855,0.0,0.015068768037062114,0.0,0.01020277102861263,0.007918172416804897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026363214046681294,0.0,0.011300371703080141,0.015846351890432115,0.011869060813465037,0.0,0.016875228510039534,0.010943223573175408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010169712662554304,0.012925221427413277,0.018868918134535853,0.0,0.007918172416804897,0.0,0.015439737842582577,0.0,0.0,0.0,0.0,0.0,0.0,0.016724298588020433,0.01368647656675857,0.022822343381824352,0.0,0.0,0.008687115044358847,0.0,0.0,0.0
19,AnonPhys,0.0,0.046563523087530145,0.0,0.0,0.0,0.0,0.017433810209901902,0.0,0.0,0.0,0.0,0.0,0.0,0.047333057381968524,0.05046126115077563,0.026094777466846193,0.0,0.04060571405793859,0.0,0.0,0.02757891999032514,0.031133233051138697,0.0,0.039526250178041226,0.0,0.02279444010775652,0.0,0.0,0.012310079431150095,0.0,0.04988639520786267,0.07375269395489464,0.0,0.0,0.0,0.0,0.0,0.0,0.022304865806018592,0.03981944451393768,0.04386418108752134,0.017681807849373,0.041289725775727364,0.032717323544597575,0.0,0.0,0.0,0.0,0.0,0.013590655986594435,0.0,0.0,0.0,0.0,0.0,0.016302810907230108,0.0,0.012310079431150095,0.0,0.013141503144360304,0.0,0.057824118963272546,0.03710725923856242,0.021436585664972488,0.09800802755101877,0.0,0.04371868146737893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,WilElem,0.0,0.026745849966083483,0.06584473941533955,0.0,0.0,0.0,0.014652669396192624,0.012021305544200351,0.0,0.01450846514110297,0.0,0.0,0.0,0.026948973890878424,0.030472022924360045,0.014067326970535476,0.0,0.0,0.0,0.0,0.0,0.019982378235182088,0.0,0.019345327128444112,0.0,0.018322119720600813,0.0,0.01405299430986143,0.0,0.0,0.020388433871776534,0.0,0.0,0.0,0.0,0.0,0.011642865283712675,0.0,0.011016311688838164,0.006882482388915478,0.017951462613329326,0.0,0.02585864654120053,0.016983391779207768,0.0,0.0,0.0,0.06182719400093989,0.0,0.017668309615732958,0.0,0.0,0.0,0.0165304398150448,0.0,0.017462168626209324,0.0,0.023673639969415017,0.0,0.0,0.0,0.041374701728467196,0.007464647159314527,0.01899198868640457,0.032815673470403754,0.0,0.01965764659327983,0.023422689464596885,0.0,0.0,0.012021305544200351,0.004585422262113739,0.0,0.03556168264334058,0.0
21,WilSimp,0.0,0.01890828326914327,0.0,0.0033489803541565124,0.0,0.003465987517603313,0.013874315606264048,0.0,0.0,0.010814000874694722,0.0,0.0,0.0,0.017386323002193848,0.0173149623393142,0.014460290678473955,0.0,0.004767899809751733,0.010477264167631301,0.0,0.0,0.015410617005783831,0.0,0.013930412729700931,0.0,0.01617528878959571,0.0,0.011084596727595646,0.0,0.0,0.025227811298560644,0.008426226670901253,0.0,0.0,0.0,0.0,0.01584118691683438,0.0,0.013496821145790082,0.004979344467257616,0.01437169133408365,0.0,0.01869166036293752,0.014733150418787765,0.0,0.0,0.0,0.0,0.0,0.016382610074436546,0.0,0.0,0.004552219663151893,0.020930986222347576,0.017262046345682736,0.015285823472904664,0.0,0.01876896101662436,0.0,0.021654439466829472,0.0,0.0,0.0,0.0,0.0,0.0,0.01610840816143792,0.017269633642637956,0.015422442025443522,0.014747071708406409,0.0,0.01472029651800382,0.019697994227216402,0.0,0.0
22,JamAnim,0.0,0.038629549827088265,0.0,0.018689579240422322,0.0,0.0,0.02673719481297575,0.0,0.0,0.0,0.0,0.0,0.0,0.034395270730244745,0.02626429942891274,0.016587565603271646,0.0,0.0,0.009389962015865243,0.0300958579089801,0.0,0.02865561911037033,0.0,0.013136026590733103,0.0,0.02321012142379343,0.0,0.01918321271689861,0.018511555474612734,0.0,0.0,0.03703813218827115,0.0,0.0,0.0,0.0,0.0,0.0,0.009120221817301342,0.013241185939490632,0.020598919763171065,0.0,0.03206133140671917,0.03032949618726461,0.01115038929164047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034836307249747796,0.0,0.025815755688791533,0.0,0.032247469179231776,0.0,0.0,0.0,0.0,0.0,0.0,0.027978169837313983,0.027579396939950207,0.0,0.0,0.0,0.03495847313214634,0.009773154483251792,0.0,0.0
23,WilGenA,0.0,0.0254465220811994,0.0,0.0,0.0,0.02050532560940663,0.016484247893263984,0.0,0.0,0.00421460820052891,0.0,0.0,0.0,0.023226212743416616,0.0,0.011408415161103384,0.0,0.0,0.0,0.0,0.0,0.019423369676081933,0.0,0.017342463621985067,0.0,0.015974999416270463,0.0,0.0040822970923735805,0.016624264868080763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02109650260414508,0.0,0.010873815041691711,0.02062835844400534,0.017526480413172785,0.0,0.021456212395683946,0.017485295545251973,0.0,0.0,0.0,0.0,0.0,0.007878281306067438,0.0,0.0,0.0,0.0,0.010853171628827233,0.017783254186328565,0.0,0.0,0.0,0.02023097083393917,0.0,0.0,0.0,0.0,0.0,0.0,0.01936355491361983,0.020128761491094237,0.025810027523858636,0.0,0.0,0.009703759809366736,0.0,0.0,0.0
24,BarHom,0.0,0.06959085040416838,0.0,0.0,0.0,0.0,0.03145040446548271,0.0,0.0,0.0,0.0,0.0,0.0,0.0567089327590834,0.0,0.014829199830548211,0.0,0.0,0.0,0.0,0.0,0.04611980179572817,0.0,0.0,0.0,0.04810794805229007,0.0,0.0,0.0,0.0,0.02396460220919214,0.0258506140462812,0.0,0.0,0.0,0.0,0.0,0.0,0.045665653988061744,0.02586453107944262,0.02298117102182223,0.0,0.05450415836150128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019530032817603536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013179599708194843,0.0532354643396028,0.0,0.0,0.0,0.06500972031173972,0.0,0.0,0.0
25,BurIon,0.0,0.012033574516672021,0.0,0.0,0.012796409216972605,0.012711807032928776,0.010781245417303293,0.0,0.0,0.009810155078601982,0.01969860094707834,0.021024656249038248,0.015983393232540513,0.012517784089159793,0.0075275635495137515,0.004145419800989958,0.003861002022676496,0.0,0.0,0.01344198312338656,0.009974336806885172,0.011367567170455804,0.0,0.007076290586591869,0.0,0.0038741361490445586,0.0,0.005288118430265904,0.0,0.0,0.016680081497216788,0.0,0.00345482172758901,0.020383900363441013,0.0,0.0036433556184826198,0.009331791446749149,0.0,0.009590457292137365,0.008565570321278047,0.010675859196246392,0.008853033614230937,0.01094383343068235,0.013997380036872849,0.0,0.0,0.0,0.0,0.0,0.005512014919095256,0.015780717900460327,0.0,0.00531608224932146,0.009582309906174483,0.0025672848414609204,0.010761484204165839,0.0,0.009063913562492918,0.0,0.0,0.0,0.0,0.011519552487481884,0.0036433556184826198,0.0222523206314388,0.007506535847138572,0.01162894411935026,0.011666629413169396,0.0024761624599487306,0.0,0.0,0.0,0.0,0.0,0.0
