,Translator,Work,atqui,aut,autem,certe,ceu,confestim,cum,dehinc,deinceps,demum,denique,enim,ergo,eciam,exinde,forsan,forsitan,fortassis,ideo,igitur,ita,itaque,iterum,mox,multotiens,nam,namque,nempe,nimirum,puta,quando,quemadmodum,quia,quidem,quippe,quod,quoniam,quoque,praecipue,rursum,rursus,sane,scilicet,saepe,sic,sicut,siquidem,tamquam,ut,utique,uelut,ueluti,uero,uidelicet
10,Bur,Com,0.0,1.6552863457230913,2.9860062860057273,0.0,0.0,0.0,0.0,0.0,1.3462605654458435,0.0,0.0,1.8213976859272645,0.0,0.5157783686016582,0.0,0.0,0.0,0.0,0.0,1.6042794947166195,1.2636082394250123,0.0,0.0,0.0,0.0,0.0,0.0,1.6423883137949375,1.990749483784965,0.0,0.48122811600755006,1.501292283664595,0.2924871892550899,4.5579575257833245,0.0,0.9782042189911878,0.930687435546155,0.0,0.0,0.0,1.6557395213574964,0.0,0.6586209496733499,0.0,0.8154966364107658,0.0,0.0,0.0,2.0381177149440655,1.5543330134037467,1.439319390260999,0.0,1.4837217896065582,0.0
11,Bur,Com,0.0,1.5143968283763969,3.1568075478312663,0.0,0.0,0.0,0.0,0.0,1.368526381987662,0.0,0.0,1.3886413499328323,0.0,0.5243088320396329,0.0,0.0,0.0,0.0,0.0,1.630812688830741,2.2478873696047756,0.0,0.0,0.0,1.2759412804390022,0.0,0.0,1.6695517900372012,1.0118372543972578,0.0,0.4891871524829597,1.5261221712968256,0.0,4.440285728256065,0.0,1.3672762785704784,0.6307200560428167,0.0,0.0,0.0,2.244165084468075,0.0,0.6695138879443068,0.0,0.8289841431853393,0.0,0.0,0.0,1.8834783305344707,1.580040142179281,1.4631243076084965,0.0,1.2066088629337952,0.0
12,Bur,Com,0.0,1.4846604859835726,3.2138527972654845,0.0,0.0,0.0,0.0,0.0,1.3416543176080582,0.0,0.0,1.5126381252678478,0.0,0.5140136262805006,0.0,0.0,0.0,0.0,0.0,1.3323253598284768,2.20374837827135,0.0,0.0,0.0,1.2508871954876024,0.0,0.0,1.6367688610579287,0.9919690544124293,0.0,0.4795815878199647,1.4961555928091927,0.0,4.163832214201771,0.0,1.5841430810985924,0.6183353843444361,0.0,0.0,0.0,2.750123978820189,0.0,1.312734939248157,0.0,0.8127064041818776,0.0,0.0,0.0,1.1078968739846646,2.3235222645141462,1.4343947404573583,0.0,1.3307806947802816,0.0
13,Bur,Com,0.0,2.981882935922875,3.466519590406526,0.0,0.0,0.0,0.486115529639525,0.0,1.3473302998740226,0.0,0.0,1.2152299752153495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8027771250888799,1.896918447860762,0.0,0.0,0.0,1.256179179752944,0.0,0.0,1.6436933504043427,0.9961656635444064,0.0,0.0,1.5024852058104379,0.0,3.4211844484167266,0.0,1.3460995583741757,0.46571347843354355,0.0,0.0,0.0,2.761758611324347,0.0,1.3182885756336966,0.0,0.0,0.0,0.0,0.0,0.5562919627898215,2.0740907753963893,1.440463068939872,0.0,0.890940450175717,0.0
14,Bur,Com,0.0,2.4694159417751584,3.6750714000409834,0.0,0.0,0.0,0.45289307033875675,0.0,1.2552500775337712,0.0,0.0,0.9906556177493571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7479131498819367,2.3563704994735137,0.7280684446489603,0.0,0.0,2.340656946449771,0.0,0.0,1.5313588700036747,0.9280849888980559,0.0,0.0,0.9332008497412697,0.0,3.541523761251718,0.0,1.2541034482601243,0.5785138011734638,0.0,0.0,0.0,1.5438075034690109,0.0,1.2281931438273206,0.0,0.0,0.0,0.0,0.0,1.3820625464320129,1.9323417627227923,1.3420178995012375,0.0,0.4150255766034541,0.0
15,Bur,Com,0.0,1.7489945577495072,3.688979813919302,0.0,0.0,0.0,0.3947903391877977,0.0,0.0,0.0,0.0,1.6037580891544254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0866026495836627,2.3108243774824597,0.6346628090376809,0.0,0.0,2.040368489453794,0.0,0.0,0.0,0.8090187542240521,0.0,0.0,0.4067391445447881,0.0,3.550249225022303,0.0,0.8944457961233372,0.6303686089170581,0.0,0.0,0.0,1.7943316803362772,0.0,0.5353126594286748,0.0,0.0,0.0,0.0,0.0,2.2589145921762244,1.8949916627817833,0.0,0.0,0.24118730430317428,0.0
16,Bur,Com,0.0,2.099273943591532,3.564164675653315,0.0,0.0,0.0,0.36236112952350896,0.0,0.0,0.0,0.0,1.4720208044199883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973459944749924,1.4140044278991057,0.5825297873868676,0.0,0.0,0.9363833877036075,0.0,0.0,0.0,0.7425636356488395,0.0,0.0,0.37332842577124203,0.0,3.8253383777592154,0.0,0.6385349098723087,0.5785883251684402,0.0,0.0,0.0,1.6469401347665138,0.0,0.4913405437374076,0.0,0.0,0.0,0.0,0.0,2.488033050055182,2.125849755125781,0.0,0.0,0.22137548804722576,0.0
17,Bur,Com,0.0,2.3728437241301408,3.3387301898125843,0.0,0.0,0.0,0.5222179681319299,0.0,0.9649284977236376,0.0,0.0,1.305481700904657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958219036801075,1.3585315110702134,0.5596765163443742,0.0,0.0,0.8996480587603908,0.0,0.0,0.0,0.7134320643554524,1.1022175195973598,1.0347567216033589,0.35868234949025096,0.0,3.8113872042420542,0.0,0.613484497547703,0.22235587277375943,0.0,0.0,0.0,1.1867466744344848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1872331112910097,1.8567730721197522,0.0,0.0,0.21269068919221434,0.0
18,Bur,Com,0.0,2.7205349196848503,3.0623616638288116,0.0,0.0,0.0,0.6386540969575696,0.0,0.8850550573931425,0.0,0.0,0.9978487045461804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0546811789000419,1.6614359680013084,0.5133484319960818,0.0,0.0,0.8251783071576928,0.0,0.0,0.0,0.6543766280650032,1.5164696540235747,0.9491031426547183,0.3289918664055482,0.0,3.995307162291875,0.0,0.5627023748058015,0.5098750586280384,0.0,0.0,0.0,1.088511893399958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.167022071377856,2.384306155847743,0.0,0.0,0.2926273354565953,0.0
19,Bur,Com,0.0,3.5116997274399075,2.687503600283165,0.0,0.0,0.0,0.7806652600613294,0.0,0.8654847622083804,0.0,0.0,0.8782058894573631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031360119012896,1.6246983751783983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4715625823599896,1.237488825687618,0.3217172139586073,0.0,3.662777925954529,0.0,0.6288684877168973,0.4986007256683589,0.0,0.0,0.0,1.7740712839475905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.335223263615161,2.3315844919342874,0.0,0.0,0.3815423650430566,0.0
